"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"983MNHC6","journalArticle","1998","Cerutti, Steven M.","P. Clodius and the Stairs of the Temple of Castor","Latomus","","0023-8856","","http://www.jstor.org/stable/41538294","","1998","2016-08-13 22:00:25","2016-10-19 02:14:37","2016-08-13 22:00:25","292-305","","2","57","","Latomus","","","","","","","","","","","","","JSTOR","","00010","","/Users/john_muccigrosso/Documents/Zotero data/storage/B34W6IJN/Cerutti - 1998 - P. Clodius and the Stairs of the Temple of Castor.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8RJWNJT8","journalArticle","1925","Rebert, Homer F.; Marceau, Henri","The Temple of Concord in the Roman Forum","Memoirs of the American Academy in Rome","","0065-6801","10.2307/4238525","http://www.jstor.org/stable/4238525","","1925","2016-08-14 22:08:33","2016-10-19 02:14:39","2016-08-14 22:08:33","53-77","","","5","","MAAR","","","","","","","","","","","","","JSTOR","","00012","","/Users/john_muccigrosso/Documents/Zotero data/storage/XXWIW8VE/Rebert and Marceau - 1925 - The Temple of Concord in the Roman Forum.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M8GA96DM","journalArticle","1991","Simpson, C. J.","Livia and the Constitution of the Aedes Concordiae. The Evidence of Ovid Fasti I. 637ff.","Historia: Zeitschrift für Alte Geschichte","","0018-2311","","http://www.jstor.org/stable/4436213","","1991","2016-08-14 22:12:33","2016-10-19 02:14:40","2016-08-14 22:12:33","449-455","","4","40","","","","","","","","","","","","","","","JSTOR","","00015","","/Users/john_muccigrosso/Documents/Zotero data/storage/BXZSUH79/Simpson - 1991 - Livia and the Constitution of the Aedes Concordiae.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XBCW8MFQ","book","1979","Gasparri, Carlo","Aedes Concordiae Augustae","","","","","","","1979","2016-08-14 22:14:16","2016-10-19 02:14:42","","","","","","","","","","","","","Istituto di studi romani","Roma","Italian","","","","","Open WorldCat","","00035  OCLC: 7459252","","","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VKIUHISQ","book","1984","Anderson, James C.","The historical topography of the imperial fora","","2-87031-122-2 978-2-87031-122-6","","","","","1984","2016-08-15 20:41:36","2016-10-19 02:14:44","","","","","","","","","Collection Latomus","182","","","Latomus","Bruxelles","English","","","","","Open WorldCat","","00095  OCLC: 11048435","","","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4APCKQVS","journalArticle","1994","Ziolkowski, Adam","Was Agrippa's Pantheon the Temple of Mars ""In Campo?""","Papers of the British School at Rome","","0068-2462","","http://www.jstor.org/stable/40344506","Il Pantheon di Agrippa non era un reale pantheion, essendo questo appellativo unicamente legato a motivi storici. Non si traita di un santuario dinastico, perché uno dei suoi dei tutelari, Marte, non fu mai considerato un antenato divino degli Iulii. Un indizio per la sua interpretazione viene dalla sua collocazione topografica. Assieme alla basilica di Nettuno (un memoriale aile vittorie navali di Agrippa, in particolare Actium) esso formava un complesso di due edifici simili che si aprivano su una piazza posta fra di loro. Le divinità di Actium erano Apollo, divinità personale di Augusto, e due esperti militari divini, Marte e Nettuno. Il pantheon di Agrippa avrebbe dovuto quindi essere dedicato a Marte e commemorare le vittorie terrestri dei suo fondatore. Ciò è corroborato dai Fasti Fratrum Arvalium del 23 settembre, che citano feste dedicate a: Marti, Neptuno in Campo, Apollini e theatrum Marcelli. I tempii di Marte e Nettuno in Campo, fondati sotto Augusto nella zona delle attività costruttive di Agrippa e dedicati ad Augusto nel giorno del suo compleanno insieme al tempio di Apollo, erano sicuramente memoriali per Actium. Poichè la Basilica di Nettuno viene anche riferita come τò ποσεıώνıον, il che rende inevitabile la sua identificazione con il tempio di Nettuno in Campo, il Pantheon di Agrippa avrebbe dovuto essere il tempio di Marte in Campo. Questi tempii, costruiti su terreni privati ed assenti dal calendario uíficiale, costituivano sacra privata. Ciò facilitò la loro reinterpretazione, nel successivo periodo dei Giulio-Claudii, discendenti di Marco Antonio, rispettivamente di mal definito pantheion (non una aedes publica, poichè le iscrizioni conservate da Adriano non citano alcuna divinità) e di basilica.","1994","2016-08-15 20:50:49","2016-10-19 02:14:45","2016-08-15 20:50:49","261-277","","","62","","PBSR","Was Agrippa's Pantheon the Temple of Mars ""In Campo?","","","","","","","","","","","","JSTOR","","00008","","/Users/john_muccigrosso/Documents/Zotero data/storage/H3APN4CX/Ziolkowski - 1994 - Was Agrippa's Pantheon the Temple of Mars In Camp.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QMRAJPHI","journalArticle","2010","Vitti, Massimo","Note di topografia sull’area del Teatro di Marcello","Mélanges de l'École française de Rome - Antiquité","","0223-5102","10.4000/mefra.315","http://mefra.revues.org/315","L’articolo prende in esame l’evoluzione topografica del Campo Marzio Meridionale, e in particolare l’area compresa tra il teatro di Marcello e l’omonima via moderna, per un arco cronologico compreso tra l’età repubblicana e il tardo antico. Si tratta di una sintesi che tiene conto delle più recenti indagini archeologiche presentando nuovi dati riguardanti la viabilità, la lastricatura dell’area antistante il teatro di Marcello e il sistema fognario. Inoltre si propongono nuove osservazioni e interpretazioni per alcuni edifici dell’area, quali il portico che fiancheggia i templi di Apollo e Bellona, il «Perrirhanterion», e una fondazione a plinti antistante il tempio di Apollo.","2010-12-15","2016-08-15 21:08:16","2016-10-19 02:14:46","2016-08-15 21:08:16","549-584","","122-2","","","","","","","","","","","it","© École française de Rome","","","","mefra.revues.org","","00003","","/Users/john_muccigrosso/Documents/Zotero data/storage/PIXTE7W5/Vitti - 2010 - Note di topografia sull’area del Teatro di Marcell.html; /Users/john_muccigrosso/Documents/Zotero data/storage/H55SCK3W/Vitti - 2010 - Note di topografia sull’area del Teatro di Marcell.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CWGDQC4A","journalArticle","1965","Coarelli, Filippo","Il tempio di Bellona","Bullettino comunale di archeologia romana","","","","","","1965","2016-08-15 21:19:56","2016-10-19 02:14:59","","37-62","","","80","","","","","","","","","","","","","","","","","00020","","","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VEAWN926","journalArticle","1990","Manacorda, Daniele","Il tempio di Vulcano in Campo Marzio","Dialoghi di Archeologia","","","","","","1990","2016-10-12 14:00:30","2016-10-19 02:15:27","","35-51","","","8","","","","3","","","","","","","","","","","","","00008","","","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SABXV64E","journalArticle","1977","Richardson, L.","Hercules Musarum and the Porticus Philippi in Rome","American Journal of Archaeology","","0002-9114","10.2307/503009","http://www.jstor.org/stable/503009","The temple of Hercules Musarum in the southern part of the Campus Martius has been neglected, in part because no remains of it are visible today, in part because the cult is an anomaly. Yet it was an important building, originally founded as a victory monument by M. Fulvius Nobilior, the conqueror of Aetolia and friend of Ennius, and rebuilt with great splendor by L. Marcius Philippus, Augustus's step-father. It appears on the Severan Forma Urbis Romae with only small and unimportant lacunae, and the main problem must be interpretation of this plan in the light of the testimonia. Examination of the sources suggests Fulvius Nobilior's temple was to the Muses alone and may not have been architecturally significant; all that we really know is that it contained a set of statues of the nine Muses and a small bronze aedicula ascribed to the time of Numa. Philip's rebuilding, on the other hand, made it a major temple of surprising subtlety and complexity, with focus both forward and back. The cult of Hercules Musarum, which Philip probably grafted on to the old cult of the Muses, may have been the invention of Q. Pomponius Musa some forty years earlier.","1977","2016-10-15 21:26:01","2016-10-19 02:15:32","2016-10-15 21:26:01","355-361","","3","81","","AJA","","","","","","","","","","","","","JSTOR","","00022","","/Users/john_muccigrosso/Documents/Zotero data/storage/6AARUZJF/Richardson - 1977 - Hercules Musarum and the Porticus Philippi in Rome.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TSXKCPGZ","journalArticle","1981","Palmer, Robert E. A.","The Topography and Social History of Rome's Trastevere (Southern Sector)","Proceedings of the American Philosophical Society","","0003-049X","","http://www.jstor.org/stable/986199","","1981","2016-10-20 20:44:07","2016-10-20 20:44:49","2016-10-20 20:44:07","368-397","","5","125","","PAPS","","","","","","","","","","","","","JSTOR","","","","/Users/john_muccigrosso/Documents/Zotero data/storage/5SX6BVHJ/Palmer - 1981 - The Topography and Social History of Rome's Traste.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TGB5EFTW","bookSection","2006","Muccigrosso, John D","Religion and Politics: Did the Romans scruple about the placement of their temples?","Religion in Republican Italy","0-521-86366-X 978-0-521-86366-7 0-511-25952-2 978-0-511-25952-4 0-511-26019-9 978-0-511-26019-3","","","","","2006","2012-11-01 22:56:56","2017-01-10 18:41:37","","181-206","","","","","","","","","","","Cambridge University Press","Cambridge, UK; New York","English","","","/z-wcorg/","","http://worldcat.org","","","","/Users/john_muccigrosso/Documents/Zotero data/storage/4DK23CX8/Muccigrosso - 2006 - Religion and Politics Did the Romans scruple abou.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KR94TI29","bookSection","2010","Hopkins, John North","The Colossal temple of Jupiter Optimus Maximus in archaic Rome","Arqueología de la construcción II: los procesos constructivos en el mundo romano","84-00-08789-5 978-84-00-08789-0 978-84-00-09279-5 84-00-09279-1 978-84-00-09500-0 84-00-09500-6","","","","","2010","2013-03-11 21:06:07","2013-03-11 21:08:00","","15-33","","","","","","","Anejos de archivo español de arqueología","LVII","","","Consejo Superior de Investigaciones Científicas, Instituto de Arqueología","Madrid-Mérida","Eng","","","","","Open WorldCat","","","","/Users/john_muccigrosso/Documents/Zotero data/storage/5567H5CK/Hopkins - 2010 - The Colossal temple of Jupiter Optimus Maximus in .pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IGA29BGJ","book","1992","Richardson, Lawrence","A new topographical dictionary of ancient Rome","","0-8018-4300-6 978-0-8018-4300-6","","","","","1992","2014-04-12 14:09:15","2014-04-12 14:09:15","","","","","","","","","","","","","Johns Hopkins University Press","Baltimore","English","","","","","Open WorldCat","","","","/Users/john_muccigrosso/Documents/Zotero data/storage/WIDGUD6U/Richardson - 1992 - A new topographical dictionary of ancient Rome.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IQH5B29X","journalArticle","2001","Meadows, Andrew; Williams, Jonathan","Moneta and the Monuments: Coinage and Politics in Republican Rome","The Journal of Roman Studies","","0075-4358","10.2307/3184768","http://www.jstor.org/stable/3184768","","2001-01-01","2014-10-28 13:48:24","2015-03-20 19:24:44","2014-10-28 13:48:24","27-49","","","91","","JRS","Moneta and the Monuments","","","","","","","","Copyright © 2001 Society for the Promotion of Roman Studies","","","","JSTOR","","","","/Users/john_muccigrosso/Documents/Zotero data/storage/MJ9WENEC/Meadows and Williams - 2001 - Moneta and the Monuments Coinage and Politics in .pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNJ4FC5W","book","1929","Platner, Samuel Ball; Ashby, Thomas","A topographical dictionary of ancient Rome","","","","","","","1929","2015-04-06 22:42:20","2015-04-06 22:44:17","","","","","","","","","","","","","Oxford University Press, H. Milford","London","English","","","","","Open WorldCat","","","","/Users/john_muccigrosso/Documents/Zotero data/storage/P6NQ76QZ/Platner and Ashby - 1929 - A topographical dictionary of ancient Rome.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U7MSP3NJ","book","2008","Stamper, John W.","The Architecture of Roman temples: the Republic to the Middle empire","","978-0-521-72371-8 0-521-72371-X 978-0-521-81068-5 0-521-81068-X","","","","","2008","2016-01-21 17:56:14","2016-04-05 15:01:20","","","","","","","","The architecture of Roman temples","","","","","Cambridge University Press","Cambridge","English","","","","","Open WorldCat","","","","","","architecture; elPBH; exLibris; temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RV29R2BR","book","1973","Blake, Marion Elizabeth; Bishop, Doris Taylor","Roman construction in Italy from Nerva through the Antonines","","0-87169-096-9 978-0-87169-096-8","","","","","1973","2016-01-21 17:57:49","2016-02-22 17:04:45","","","","","","","","","","","","","American Philosophical Society","Philadelphia","English","","","","","Open WorldCat","","","","","","architecture; elPBH; exLibris; temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6UMTV3VC","journalArticle","2016","Paga, Jessica; Miles, Margaret M.","The Archaic Temple of Poseidon at Sounion","Hesperia: The Journal of the American School of Classical Studies at Athens","","0018-098X","10.2972/hesperia.85.4.0657","http://www.jstor.org/stable/10.2972/hesperia.85.4.0657","The Late Archaic Temple of Poseidon at Sounion, known since Wilhelm Dörpfeld's notes published in 1884 and examined by William B. Dinsmoor Jr. in the 1960s, was the first monumental peripteral temple in Attica. Based on our fieldwork, we argue construction began as part of the Athenian response to the Battle of Marathon. The temple is notable for its early use of the 6 × 13 plan that would become so distinctive in Attic architecture. The location of Sounion as the outer gateway to the harbors of Athens and the access point for communication with the broader Aegean meant that the deme (and its cult of Poseidon) became ever more significant when the Athenian navy was expanded as part of the defense of Attica.","2016","2016-11-19 22:40:46","2016-11-19 22:41:04","2016-11-19 22:40:46","657-710","","4","85","","Hesp","","","","","","","","","","","","","JSTOR","","","","/Users/john_muccigrosso/Documents/Zotero data/storage/PPAGWJCN/Paga and Miles - 2016 - The Archaic Temple of Poseidon at Sounion.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E7BU3NQC","journalArticle","1994","Habelt, Rudolf","Fehler und Fehlinterpretationen in der Datierung des dies natalis des stadtrömischen Mater-Magna Tempels","Zeitschrift für Papyrologie und Epigraphik","","0084-5388","","http://www.jstor.org/stable/20189145","","1994","2017-02-28 20:10:10","2017-02-28 21:08:26","2017-02-28","237–240","","","102","","ZPE","","","","","","","","","","","","","JSTOR","","","","/Users/john_muccigrosso/Documents/Zotero data/storage/KN7QWSJ2/Habelt - 1994 - Fehler und Fehlinterpretationen in der Datierung d.pdf","","temples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
